head_0,head_1,head_2,head_3,head_4,head_5,head_6,head_7,head_8,head_9,head_10,head_11,head_12,head_13_0,head_13_1,head_14,head_15,head_16,head_17,head_18,head_19,head_20,head_21_value_1,head_21_separator_1,head_21_value_2,head_21_separator_2,head_21_value_3,head_21_separator_3,head_21_value_4,head_22,body_0,body_1,body_2,body_3,body_4,body_5,body_6,body_7,body_8,body_9,body_10,body_11,body_12,body_13,body_14_value_1,body_14_separator_1,body_14_value_2,body_14_separator_2,body_14_value_3,body_14_separator_3,body_14_value_4,body_15_value_1,body_15_separator_1,body_15_value_2,body_15_separator_2,body_15_value_3,body_15_separator_3,body_15_value_4,body_15_separator_4,body_15_value_5,body_16,body_17,body_18,body_19,body_20,body_21
1836279601,16777217,59,2023,10,13,14,10,58,0,600,site_117,1,2688,97113,6615057,0,0,,,,,6,;,,,,,,,630000,3,,,,,,,,,,80,65,5,,;,,,,,,,;,,,,,,,,587422632456.0,4593.0,,,,0
1836279601,16777217,59,2023,10,13,14,10,58,0,700,site_117,0,2688,97114,6615057,0,0,,,,,6,;,,,,,,,630000,3,,,,,,,,,,80,65,2,,;,,,,,,,;,,,,,,,,584151527469.0,6077.0,,,,0
1836279601,16777217,59,2023,10,13,14,11,3,0,800,site_117,4,2688,97115,6615057,0,0,,,,,6,;,,,,,,,630000,3,,,,,,,,,,80,65,5,,;,,,,,,,;,,,,,,,,584204462719.0,548.0,,,,0
1836279601,16777217,59,2023,10,13,14,11,4,0,300,site_117,1,2688,97116,6615057,0,0,,,,,9,;,,,,,,,630000,3,,,,,,,,,,80,65,1,,;,,,,,,,;,,,,,,,,587353916412.0,4236.0,,,,0
1836279601,16777217,60,2023,10,13,14,11,5,0,800,site_117,2,2688,97117,6615057,0,0,,,,,6,;,5,;,,,,,630000,3,,,,,,,,,,80,65,2,,;,,,,,,,;,,,,,,,,591669100144.0,6092.0,,,,0
1836279601,16777217,53,2023,10,13,14,11,9,0,800,site_117,0,2688,97118,6615057,0,0,,,,,6,;,,,,,,,630000,3,,,,,,,,,,80,65,2,,;,,,,,,,;,,,,,,,,,1756.0,,,,0
1836279601,16777217,59,2023,10,13,14,11,10,0,500,site_117,6,2688,97119,6615057,0,0,,,,,6,;,,,,,,,630000,3,,,,,,,,,,80,65,1,,;,,,,,,,;,,,,,,,,588428540094.0,5439.0,,,,0
1836279601,16777217,59,2023,10,13,14,11,19,0,100,site_117,6,2688,97119,6615057,0,0,,,,,6,;,,,,,,,630000,3,,,,,,,,,,80,65,1,,;,,,,,,,;,,,,,,,,588428540094.0,5439.0,,,,0
1836279601,16777217,59,2023,10,13,14,11,24,0,400,site_117,6,2688,97119,6615057,0,0,,,,,6,;,,,,,,,630000,3,,,,,,,,,,80,65,1,,;,,,,,,,;,,,,,,,,588428540094.0,5439.0,,,,0
1836279601,16777217,59,2023,10,13,14,16,52,0,400,site_117,6,2688,97119,6615057,0,0,,,,,6,;,,,,,,,630000,3,,,,,,,,,,80,65,1,,;,,,,,,,;,,,,,,,,588428540094.0,5439.0,,,,0
1836279601,16777217,59,2023,10,13,14,14,8,0,400,site_117,6,2688,97119,6615057,0,0,,,,,6,;,,,,,,,630000,3,,,,,,,,,,80,65,1,,;,,,,,,,;,,,,,,,,588428540094.0,5439.0,,,,0
1836279601,16777217,59,2023,10,13,14,11,12,0,200,site_117,2,2688,97135,6615057,0,0,,,,,6,;,,,,,,,630000,3,,,,,,,,,,80,65,1,,;,,,,,,,;,,,,,,,,628164067245.0,2266.0,,,,0
1836279601,16777217,59,2023,10,13,14,11,13,0,900,site_117,2,2688,97135,6615057,0,0,,,,,6,;,,,,,,,630000,3,,,,,,,,,,80,65,1,,;,,,,,,,;,,,,,,,,628164067245.0,2266.0,,,,0
1836279601,16777217,53,2023,10,13,14,11,34,0,700,site_117,7,2688,97136,6615057,0,0,,,,,5,;,,,,,,,630000,3,,,,,,,,,,80,65,2,,;,,,,,,,;,,,,,,,,,5270.0,,,,0
1836279601,16777217,60,2023,10,13,14,11,20,0,500,site_117,2,2688,97137,6615057,0,0,,,,,6,;,5,;,,,,,630000,3,,,,,,,,,,80,65,1,,;,,,,,,,;,,,,,,,,623862956290.0,5413.0,,,,0
1836279601,16777217,60,2023,10,13,14,11,24,0,200,site_117,2,2688,97137,6615057,0,0,,,,,6,;,5,;,,,,,630000,3,,,,,,,,,,80,65,1,,;,,,,,,,;,,,,,,,,623862956290.0,5413.0,,,,0
1836279601,16777217,60,2023,10,13,14,11,24,0,400,site_117,2,2688,97137,6615057,0,0,,,,,6,;,5,;,,,,,630000,3,,,,,,,,,,80,65,1,,;,,,,,,,;,,,,,,,,623862956290.0,5413.0,,,,0
1836279601,16777217,59,2023,10,13,14,11,25,0,0,site_117,5,2688,97138,6615057,0,0,,,,,6,;,5,;,,,,,630000,3,,,,,,,,,,80,65,5,,;,,,,,,,;,,,,,,,,591725074757.0,5167.0,,,,0
1836279601,16777217,59,2023,10,13,14,11,26,0,100,site_117,7,2688,97139,6615057,0,0,,,,,6,;,,,,,,,630000,3,,,,,,,,,,80,65,1,,;,,,,,,,;,,,,,,,,595955076357.0,1287.0,,,,0
1836279601,16777217,60,2023,10,13,14,11,26,0,600,site_117,7,2688,97140,6615057,0,0,,,,,6,;,5,;,,,,,630000,3,,,,,,,,,,80,65,1,,;,,,,,,,;,,,,,,,,584138076053.0,2283.0,,,,0
1836279601,16777217,60,2023,10,13,14,11,39,0,700,site_117,7,2688,97140,6615057,0,0,,,,,6,;,5,;,,,,,630000,3,,,,,,,,,,80,65,1,,;,,,,,,,;,,,,,,,,584138076053.0,2283.0,,,,0
1836279601,16777217,59,2023,10,13,14,11,26,0,900,site_117,3,2688,97141,6615057,0,0,,,,,6,;,,,,,,,630000,3,,,,,,,,,,80,65,4,,;,,,,,,,;,,,,,,,,589552793576.0,5196.0,,,,0
1836279601,16777217,59,2023,10,13,14,11,26,0,900,site_117,1,2688,97142,6615057,0,0,,,,,6,;,,,,,,,630000,3,,,,,,,,,,80,65,1,,;,,,,,,,;,,,,,,,,666810593499.0,2573.0,,,,0
1836279601,16777217,59,2023,10,13,14,11,29,0,500,site_117,1,2688,97142,6615057,0,0,,,,,6,;,,,,,,,630000,3,,,,,,,,,,80,65,1,,;,,,,,,,;,,,,,,,,666810593499.0,2573.0,,,,0
1836279601,16777217,59,2023,10,13,14,11,27,0,300,site_117,7,2688,97143,6615057,0,0,,,,,6,;,,,,,,,630000,3,,,,,,,,,,80,65,2,,;,,,,,,,;,,,,,,,,586307923603.0,380.0,,,,0
1836279601,16777217,59,2023,10,13,14,11,30,0,400,site_117,2,2688,97144,6615056,0,0,,,,,9,;,5,;,,,,,630000,3,,,,,,,,,,5,128,1,,;,,,,,,,;,,,,,,,,17350591005.0,1706.0,,,,0
1836279601,16777217,59,2023,10,13,14,11,31,0,400,site_117,1,2688,97145,6615057,0,0,,,,,6,;,,,,,,,630000,3,,,,,,,,,,80,65,4,,;,,,,,,,;,,,,,,,,600297251887.0,3207.0,,,,0
1836279601,16777217,58,2023,10,13,14,11,50,0,0,site_117,7,2688,97146,6615057,0,0,,,,,6,;,,,,,,,630000,3,,,,,,,,,,80,65,6,,;,,,,,,,;,,,,,,,,586364044719.0,364.0,,,,0
1836279601,16777217,59,2023,10,13,14,11,34,0,0,site_117,7,2688,97146,6615057,0,0,,,,,6,;,,,,,,,630000,3,,,,,,,,,,80,65,6,,;,,,,,,,;,,,,,,,,586364044719.0,364.0,,,,0
1836279601,16777217,57,2023,10,13,14,11,36,0,200,site_117,6,2688,97147,6615056,0,0,,,,,8,;,,,,,,,630000,3,,,,,,,,,,5,128,0,,;,,,,,,,;,,,,,,,,4428989884.0,5872.0,,,,0
1836279601,16777217,60,2023,10,13,14,11,36,0,400,site_117,2,2688,97148,6615057,0,0,,,,,6,;,5,;,,,,,630000,3,,,,,,,,,,80,65,2,,;,,,,,,,;,,,,,,,,597043961720.0,4698.0,,,,0
1836279601,16777217,60,2023,10,13,14,11,39,0,700,site_117,2,2688,97148,6615057,0,0,,,,,6,;,5,;,,,,,630000,3,,,,,,,,,,80,65,2,,;,,,,,,,;,,,,,,,,597043961720.0,4698.0,,,,0
1836279601,16777217,58,2023,10,13,14,11,40,0,200,site_117,6,2688,97149,6615056,0,0,,,,,9,;,,,,,,,630000,3,,,,,,,,,,5,128,1,,;,,,,,,,;,,,,,,,,21944992224.0,4716.0,,,,0
1836279601,16777217,59,2023,10,13,14,11,41,0,200,site_117,5,2688,97150,6615057,0,0,,,,,6,;,,,,,,,630000,3,,,,,,,,,,80,65,1,,;,,,,,,,;,,,,,,,,599174155042.0,753.0,,,,0
1836279601,16777217,57,2023,10,13,14,11,42,0,500,site_117,7,2688,97151,6615056,0,0,,,,,8,;,,,,,,,630000,3,,,,,,,,,,5,128,0,,;,,,,,,,;,,,,,,,,4603380240.0,5734.0,,,,0
1836279601,16777217,59,2023,10,13,14,11,44,0,800,site_117,2,2688,97152,6615057,0,0,,,,,6,;,,,,,,,630000,3,,,,,,,,,,80,65,2,,;,,,,,,,;,,,,,,,,587377776357.0,2072.0,,,,0
1836279601,16777217,59,2023,10,13,14,11,43,0,400,site_117,2,2688,97152,6615057,0,0,,,,,6,;,,,,,,,630000,3,,,,,,,,,,80,65,2,,;,,,,,,,;,,,,,,,,587377776357.0,2072.0,,,,0
1836279601,16777217,57,2023,10,13,14,11,45,0,500,site_117,0,2688,97153,6615056,0,0,,,,,9,;,,,,,,,630000,3,,,,,,,,,,5,128,0,,;,,,,,,,;,,,,,,,,4566352613.0,773.0,,,,0
1836279601,16777217,59,2023,10,13,14,11,45,0,800,site_117,1,2688,97154,6615057,0,0,,,,,6,;,,,,,,,630000,3,,,,,,,,,,80,65,2,,;,,,,,,,;,,,,,,,,586305163551.0,3717.0,,,,0
1836279601,16777217,58,2023,10,13,14,11,50,0,0,site_117,1,2688,97154,6615057,0,0,,,,,6,;,,,,,,,630000,3,,,,,,,,,,80,65,2,,;,,,,,,,;,,,,,,,,586305163551.0,3717.0,,,,0
1836279601,16777217,57,2023,10,13,14,11,46,0,900,site_117,0,2688,97155,6615056,0,0,,,,,9,;,,,,,,,630000,3,,,,,,,,,,5,128,0,,;,,,,,,,;,,,,,,,,4863557803.0,1460.0,,,,0
1836279601,16777217,56,2023,10,13,14,11,50,0,0,site_117,0,2688,97155,6615056,0,0,,,,,9,;,,,,,,,630000,3,,,,,,,,,,5,128,0,,;,,,,,,,;,,,,,,,,4863557803.0,1460.0,,,,0
1836279601,16777217,58,2023,10,13,14,11,47,0,200,site_117,7,2688,97156,6615056,0,0,,,,,9,;,,,,,,,630000,3,,,,,,,,,,5,128,1,,;,,,,,,,;,,,,,,,,17870750168.0,2989.0,,,,0
1836279601,16777217,58,2023,10,13,14,11,47,0,900,site_117,2,2688,97157,6615056,0,0,,,,,9,;,,,,,,,630000,3,,,,,,,,,,5,128,1,,;,,,,,,,;,,,,,,,,21641757903.0,4443.0,,,,0
1836279601,16777217,57,2023,10,13,14,11,50,0,300,site_117,6,2688,97158,6615056,0,0,,,,,8,;,,,,,,,630000,3,,,,,,,,,,5,128,0,,;,,,,,,,;,,,,,,,,4428989884.0,448.0,,,,0
