File Name,Template1 Time
dict-16777219-compress_1,0.012197017669677734
dict-16777217-compress_1,0.0035774707794189453
dict-16777271-compress_1,0.004063844680786133
dict-16777263-compress_1,0.0011756420135498047
dict-16777220-compress_1,0.002817392349243164
dict-16777228-compress_1,0.0027971267700195312
dict-16777227-compress_1,0.009699344635009766
dict-16777242-compress_1,0.0007338523864746094
dict-16777226-compress_1,0.005559682846069336
dict-16777258-compress_1,0.06522083282470703
dict-16777225-compress_1,0.012349843978881836
